"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2024","30.572","33.000","33.600","30.025","53.30K","-5.50%"
"12/29/2023","32.350","33.395","34.400","31.600","39.62K","-2.28%"
"12/28/2023","33.105","34.840","34.905","32.705","46.60K","-6.78%"
"12/27/2023","35.513","35.015","37.350","35.005","50.20K","3.92%"
"12/22/2023","34.174","34.370","34.775","33.430","57.52K","-0.08%"
"12/21/2023","34.203","33.975","36.290","33.755","78.00K","2.03%"
"12/20/2023","33.521","33.005","34.670","32.790","62.06K","2.93%"
"12/19/2023","32.568","36.000","36.000","32.100","76.93K","-8.32%"
"12/18/2023","35.522","33.895","37.590","32.325","104.94K","7.03%"
"12/15/2023","33.189","34.395","34.760","32.880","66.90K","-4.77%"
"12/14/2023","34.850","36.500","36.695","34.520","69.50K","-2.69%"
"12/13/2023","35.812","34.500","36.310","34.050","68.10K","3.20%"
"12/12/2023","34.703","36.000","36.685","34.505","75.22K","-3.92%"
"12/11/2023","36.118","38.105","38.105","35.915","79.23K","-6.43%"
"12/08/2023","38.598","40.500","41.750","38.540","74.05K","-3.43%"
"12/07/2023","39.968","39.200","41.025","38.800","71.65K","1.67%"
"12/06/2023","39.313","38.165","39.825","37.750","70.84K","3.09%"
"12/05/2023","38.133","40.505","40.665","37.915","82.88K","-4.91%"
"12/04/2023","40.104","42.750","42.755","39.870","73.54K","-7.80%"
"12/01/2023","43.496","42.500","44.150","41.700","69.15K","3.34%"
"11/30/2023","42.091","40.465","43.050","40.200","63.61K","4.29%"
"11/29/2023","40.360","42.150","43.100","39.750","60.64K","-5.64%"
"11/28/2023","42.774","44.595","44.750","41.900","65.99K","-2.75%"
"11/27/2023","43.984","46.500","46.745","43.500","60.87K","-5.73%"
"11/24/2023","46.657","45.970","47.585","45.650","68.54K","-0.38%"
"11/23/2023","46.834","46.000","47.215","44.800","91.49K","4.97%"
"11/22/2023","44.616","44.550","45.500","43.250","73.02K","1.25%"
"11/21/2023","44.065","46.495","46.545","43.150","71.44K","-3.83%"
"11/20/2023","45.821","48.165","48.165","45.120","70.60K","1.68%"
"11/17/2023","45.064","46.200","46.850","44.745","55.78K","-1.71%"
"11/16/2023","45.849","47.200","47.880","45.420","65.58K","-2.53%"
"11/15/2023","47.037","47.985","49.400","46.235","75.54K","-1.20%"
"11/14/2023","47.608","47.500","48.010","45.995","72.74K","-0.55%"
"11/13/2023","47.873","46.000","48.225","44.500","69.90K","2.66%"
"11/10/2023","46.632","48.690","48.690","45.530","78.09K","-3.11%"
"11/09/2023","48.129","45.500","49.185","45.050","70.71K","5.14%"
"11/08/2023","45.777","46.800","46.800","44.820","67.46K","-0.61%"
"11/07/2023","46.057","44.750","47.100","44.570","77.48K","2.73%"
"11/06/2023","44.832","47.340","47.340","44.600","74.91K","-6.71%"
"11/03/2023","48.057","49.400","50.400","46.900","81.57K","-1.04%"
"11/02/2023","48.564","48.150","49.340","46.150","86.39K","1.69%"
"11/01/2023","47.757","46.800","48.955","46.115","81.61K","-0.52%"
"10/31/2023","48.006","52.000","52.500","47.255","87.07K","-5.03%"
"10/30/2023","50.547","52.300","54.300","49.400","49.50K","0.03%"
"10/27/2023","50.532","50.900","51.750","49.700","62.97K","-0.55%"
